1/26/2011 9:36:43 PM
online name,id,zcQTY,storeQTY,store name,id,ShouldUpdate
"Fumi Watanabi Nature Magnet Set",650,1,2,"Click 4 pk - fumi nature",650,SELECT zen_products.products_id,zen_products.products_model, zen_products.products_quantity, zen_products_description.products_name FROM `zen_products` , `zen_products_description` WHERE zen_products.products_id = zen_products_description.products_id AND zen_products.products_model = 650
"Pocket Mirrors",407,-27,70,"Mirror - Botanical",407,SELECT zen_products.products_id,zen_products.products_model, zen_products.products_quantity, zen_products_description.products_name FROM `zen_products` , `zen_products_description` WHERE zen_products.products_id = zen_products_description.products_id AND zen_products.products_model = 407
"Classic Clicks Orchids Magnet Set",652,0,1,"Click 4 pk - orchids",652,SELECT zen_products.products_id,zen_products.products_model, zen_products.products_quantity, zen_products_description.products_name FROM `zen_products` , `zen_products_description` WHERE zen_products.products_id = zen_products_description.products_id AND zen_products.products_model = 652
"Beehouse Tea Mug",456,1,1,"Tea Mug - Red",456,No
"ibride Squirrel Tray",460,4,0,"Tray - Squirrel",460,SELECT zen_products.products_id,zen_products.products_model, zen_products.products_quantity, zen_products_description.products_name FROM `zen_products` , `zen_products_description` WHERE zen_products.products_id = zen_products_description.products_id AND zen_products.products_model = 460
"ibride Stag Tray",462,3,0,"Tray - Oval - Stag",462,SELECT zen_products.products_id,zen_products.products_model, zen_products.products_quantity, zen_products_description.products_name FROM `zen_products` , `zen_products_description` WHERE zen_products.products_id = zen_products_description.products_id AND zen_products.products_model = 462
"ibride Polar Bear Tray",463,8,0,"Tray - Oval - Polar Bear",463,SELECT zen_products.products_id,zen_products.products_model, zen_products.products_quantity, zen_products_description.products_name FROM `zen_products` , `zen_products_description` WHERE zen_products.products_id = zen_products_description.products_id AND zen_products.products_model = 463
"Butterflies Magnet Set",906,2,3,"Click 4 pk - butterflies",906,SELECT zen_products.products_id,zen_products.products_model, zen_products.products_quantity, zen_products_description.products_name FROM `zen_products` , `zen_products_description` WHERE zen_products.products_id = zen_products_description.products_id AND zen_products.products_model = 906
"Amy Ruppel Owl Paperweight",907,0,2,"Paper Weight - Ruppel Owl",907,SELECT zen_products.products_id,zen_products.products_model, zen_products.products_quantity, zen_products_description.products_name FROM `zen_products` , `zen_products_description` WHERE zen_products.products_id = zen_products_description.products_id AND zen_products.products_model = 907
"Stacey Asato Ginko Leaf Magnet Set",653,-2,2,"Click 4 pk - gingko",653,SELECT zen_products.products_id,zen_products.products_model, zen_products.products_quantity, zen_products_description.products_name FROM `zen_products` , `zen_products_description` WHERE zen_products.products_id = zen_products_description.products_id AND zen_products.products_model = 653
"Sterling Silver Hammered Disc Earrings",917,0,1,"Earrings - big! hammer discs",917,SELECT zen_products.products_id,zen_products.products_model, zen_products.products_quantity, zen_products_description.products_name FROM `zen_products` , `zen_products_description` WHERE zen_products.products_id = zen_products_description.products_id AND zen_products.products_model = 917
"paper nature dandelion card",952,1,3,"Card - Silver Dandelion",952,SELECT zen_products.products_id,zen_products.products_model, zen_products.products_quantity, zen_products_description.products_name FROM `zen_products` , `zen_products_description` WHERE zen_products.products_id = zen_products_description.products_id AND zen_products.products_model = 952
"iBride Flower Girl Card",955,0,11,"Card - woman w/flowers in hair",955,SELECT zen_products.products_id,zen_products.products_model, zen_products.products_quantity, zen_products_description.products_name FROM `zen_products` , `zen_products_description` WHERE zen_products.products_id = zen_products_description.products_id AND zen_products.products_model = 955
"iBride Squirrel Card",956,5,7,"Card - wonderland squirrel",956,SELECT zen_products.products_id,zen_products.products_model, zen_products.products_quantity, zen_products_description.products_name FROM `zen_products` , `zen_products_description` WHERE zen_products.products_id = zen_products_description.products_id AND zen_products.products_model = 956
"iBride Polar Bear Card",957,2,9,"Card - wonderland polar bear",957,SELECT zen_products.products_id,zen_products.products_model, zen_products.products_quantity, zen_products_description.products_name FROM `zen_products` , `zen_products_description` WHERE zen_products.products_id = zen_products_description.products_id AND zen_products.products_model = 957
"iBride Doe Card",958,0,8,"Card - wonderland doe",958,SELECT zen_products.products_id,zen_products.products_model, zen_products.products_quantity, zen_products_description.products_name FROM `zen_products` , `zen_products_description` WHERE zen_products.products_id = zen_products_description.products_id AND zen_products.products_model = 958
"iBride Stag Card",959,-1,8,"Card - wonderland stag",959,SELECT zen_products.products_id,zen_products.products_model, zen_products.products_quantity, zen_products_description.products_name FROM `zen_products` , `zen_products_description` WHERE zen_products.products_id = zen_products_description.products_id AND zen_products.products_model = 959
"Hearty Tea Set",962,1,2,"Hearty Tea Set",962,SELECT zen_products.products_id,zen_products.products_model, zen_products.products_quantity, zen_products_description.products_name FROM `zen_products` , `zen_products_description` WHERE zen_products.products_id = zen_products_description.products_id AND zen_products.products_model = 962
"Roses",967,4,4,"Book - Roses",967,No
"Le Palais des Thés - des Songes Tea",982,2,9,"Tea - The des Songes - Tin",982,SELECT zen_products.products_id,zen_products.products_model, zen_products.products_quantity, zen_products_description.products_name FROM `zen_products` , `zen_products_description` WHERE zen_products.products_id = zen_products_description.products_id AND zen_products.products_model = 982
"Figs & Ginger Cuddle Bunny Earring Studs",989,0,0,"Earrings - bunny posts silver",989,No
"Guest Size Lemongrass Soap",574,5,11,"Soap - Guest - lemongrass",574,SELECT zen_products.products_id,zen_products.products_model, zen_products.products_quantity, zen_products_description.products_name FROM `zen_products` , `zen_products_description` WHERE zen_products.products_id = zen_products_description.products_id AND zen_products.products_model = 574
"Set of Three French Broyee Soaps",578,3,3,"Soap - package of 3 broyee",578,No
"Lemon Verbena Soap",582,0,1,"Soap - Verbena - 200 grams",582,SELECT zen_products.products_id,zen_products.products_model, zen_products.products_quantity, zen_products_description.products_name FROM `zen_products` , `zen_products_description` WHERE zen_products.products_id = zen_products_description.products_id AND zen_products.products_model = 582
"Marseille Lavender Soap Cube",583,1,1,"Soap - Lavender - Cube",583,No
"Marseille Olive Oil Soap Cube",584,1,1,"Soap - Olive Oil - Cube",584,No
"Lemongrass Soap Bar",585,1,0,"Soap - Lemongrass Bar",585,SELECT zen_products.products_id,zen_products.products_model, zen_products.products_quantity, zen_products_description.products_name FROM `zen_products` , `zen_products_description` WHERE zen_products.products_id = zen_products_description.products_id AND zen_products.products_model = 585
"Ticket - Small Journal",1226,0,0,"Journal, Small- Ticket",1226,No
"nashelle metro revolve necklace",1229,0,1,"Necklace - metro - gold lg",1229,SELECT zen_products.products_id,zen_products.products_model, zen_products.products_quantity, zen_products_description.products_name FROM `zen_products` , `zen_products_description` WHERE zen_products.products_id = zen_products_description.products_id AND zen_products.products_model = 1229
"Nashelle Lucky Earrings with Ruby Chalcedony Drops",1233,1,1,"Earring - Lucky gold w/stone",1233,No
"little bird",654,-1,0,"Card - Little Bird - blank",654,SELECT zen_products.products_id,zen_products.products_model, zen_products.products_quantity, zen_products_description.products_name FROM `zen_products` , `zen_products_description` WHERE zen_products.products_id = zen_products_description.products_id AND zen_products.products_model = 654
"Figs & Ginger Nestling with 2 birds",998,1,1,"Necklace - Nestling w/ 2",998,No
"Lotta Linen Echo Zipper",1025,0,4,"Zippered pouch - longblulinen",1025,SELECT zen_products.products_id,zen_products.products_model, zen_products.products_quantity, zen_products_description.products_name FROM `zen_products` , `zen_products_description` WHERE zen_products.products_id = zen_products_description.products_id AND zen_products.products_model = 1025
"Figs & Ginger Forest Fawn Lapel Pin",1029,0,1,"Lapel Pin - Fawn",1029,SELECT zen_products.products_id,zen_products.products_model, zen_products.products_quantity, zen_products_description.products_name FROM `zen_products` , `zen_products_description` WHERE zen_products.products_id = zen_products_description.products_id AND zen_products.products_model = 1029
"Figs & Ginger Fawn Post Earrings",1030,-2,0,"Earrings - fawn posts black",1030,SELECT zen_products.products_id,zen_products.products_model, zen_products.products_quantity, zen_products_description.products_name FROM `zen_products` , `zen_products_description` WHERE zen_products.products_id = zen_products_description.products_id AND zen_products.products_model = 1030
"ibride Bianca Tray",1066,0,0,"Tray - Bianca",1066,No
"Flying Wish Paper Kit",1085,-6,5,"Flying Wish Paper",1085,SELECT zen_products.products_id,zen_products.products_model, zen_products.products_quantity, zen_products_description.products_name FROM `zen_products` , `zen_products_description` WHERE zen_products.products_id = zen_products_description.products_id AND zen_products.products_model = 1085
"Flying Wish Paper",1087,3,11,"Flying Wish Mini Paper",1087,SELECT zen_products.products_id,zen_products.products_model, zen_products.products_quantity, zen_products_description.products_name FROM `zen_products` , `zen_products_description` WHERE zen_products.products_id = zen_products_description.products_id AND zen_products.products_model = 1087
