1/26/2011 9:36:43 PM
store name , store id
"Big Click - Girl w/ bird",694
"Soap - 100gm curve",695
"Soap - Tuberose Flower",696
"Soap - Rose - 100 grams",697
"Soap - Lavender - 100 grams",698
"Soap - Grapefruit - 100 grams",699
"Ring - Silver - heartshapetals",701
"Butterfly Necklace -sunset sm",702
"Earrings - Silver Thai Flowers",703
"Soop Enchanted Ring",704
"Ring - Siam - Brown sz 6",705
"Ring - Siam - Brown sz 7",706
"Votive Holder etched botanical",235
"Tray - Owl",237
"Purse-Chanda Helzer",239
"Purse-Cat & Octopus",240
"Purse-Olive",241
"lavender essential compound-Q",242
"Journal, large-Musings",243
"Magnet - Sweet Surrender",244
"Magnet - Love Magnet",245
"Magnet - Beauty is Everywhere",246
"Magnet - Eye of the Soul",247
"Print-Bonita",248
"Print- you can fly",249
"Rose Compound -quad",250
"print, framed butterfly",251
"baby hat- cashmere",254
"Salt Candle Holder",255
"electric cord",256
"Charming pkg 4 gold",1411
"Charming pkg 1 silver",1412
"Charming pkg 2 silver",1413
"Charming pkg 3 silver",1414
"Charming pkg 4 silver",1415
"Card - Deer with golden bough",1416
"Ring - Resin Rose",1417
"Make-Up Bag - bird on branch",1418
"Make-Up Bag - faux suede poppy",1419
"Wristlet - faux suede poppy",1420
"Necklace - Sandalwood",1421
"Card - Happy Mother's Day",477
"Card - Birch Trees",478
"Card - I wonder how you are",479
"Chain, Italian Silver, c",480
"Chain, Italian Silver, a",481
"Chain, Italian Silver, d",482
"Chain, Italian Silver ovalloop",483
"Flora Finds",484
"Card - Handmade - Log",485
"Card - Handmade - Flower",486
"Card - Handmade - cupcake",487
"Butterfly Earrings - wings",1422
"Flora Finds - Cards/Paper",1423
"Barrette - Vintage Black Glass",1424
"Barrette - Vintage purple dots",1425
"Barrette - Vintage red flower",1426
"Barrette - Vintage cut jet",1427
"Necklace - vintage lucite drop",1428
"Necklace - vintage lucite blk",1429
"Earrings - vintage post matrix",1430
"Earrings - vintage post dots",1431
"Earrings - vintage post oval",1432
"Earrings - vintage white swirl",1433
"Card - Handmade - owl",488
"Egg - Opalite - Wren",489
"Egg - Opalite - Quail",490
"Egg - Opalite - Hen",491
"Rose Quartz Heart",492
"Earrings - Hearts - Sterling",495
"Ring - Spectralite - sz 9",496
"Ivy Panels - Brass",497
"Midsummer Light - Fading Lilac",498
"Puddles - Iris",500
"Bracelet - baby hearts",501
"Bracelet - Hammered Circles",502
"Bracelet - Double Chain",503
"Necklace - Lightning Roots",504
"Necklace - Fern Frond",505
"Necklace - Branches",506
"purse hand painted clutch",763
"Necklace - Sparrow - Oval",507
"Earrings - Lightning Roots",508
"Earrings - Branches",509
"Barrette - Flower - small pair",510
"Tea Pot - Saturn - med, pink",257
"Tea Pot - Saturn - med, wht",258
"Tea Pot - Tulip - Blueberry",259
"Tea Pot - Kyoto - charcoal",260
"Tea Pot - Kyoto - white",261
"Creamer- Blueberry",262
"Creamer - Pink",263
"Tea Cup - Charcoal",264
"Tea Cup - White",265
"Tea Cup - Pink",266
"Tea Cup - White - Round",267
"Coffee Dripper",268
"Honey Dispenser - Blueberry",269
"Card -flocked forest",270
"Card lasercut orange/pink",271
"Playing Cards aqua floral",272
"Playing Cards wht/blk floral",273
"Boxed Cards in keepsake box",274
"Woolie Hat - embellished",275
"Wool Wall Art -flws/grass",276
"Wool Wall Art - owl",277
"Wool Wall Art - tiny",278
"Shipping",788
"Wool Wall Art -black",279
"Candle, beeswax birthday",281
"Candle, beeswax slender pair",282
"Beeswax Gnome",283
"Candle, Tree",284
"Wool Wall Art - Red Nest",285
"Journal - Lotta dandelion wish",286
"Book, Bloom",287
"Address Book, Lotta",288
